Date;Description;Distance (km);Time;Time (seconds);Speed (km/h);Best 250m (km/h);Best 500m (km/h);Best 1000m (km/h);Best 5km (km/h);Best 10km (km/h);Best 20km (km/h);Best 50km (km/h);Best 100km (km/h);Best 30 min (km/h);Best 1 h (km/h);Best 2 h (km/h);Best 3 h (km/h);Best 4 h (km/h);Best 5 h (km/h);Max gradient for 250 m (%);Max gradient for 500 m (%);Max gradient for 1000 m (%);Max gradient for 5 km (%);Max gradient for 10 km (%);Max gradient for 20 km (%)
lun. 05 décembre 2022 - 18:06;Retour boulot;5,46;16m 35s;995;19,76;34,62;32,73;30,25;20,81;;;;;;;;;;;5,84;4,08;2,74;0,90;;
lun. 05 décembre 2022 - 08:13;Aller boulot;5,77;03h 39m 36s;13176;1,58;36,00;33,96;31,30;25,28;;;;;10,54;5,31;2,76;1,92;;;3,04;2,56;1,82;0,60;;
dim. 04 décembre 2022 - 08:56;Sortie VTT le matin pour aller encourager les Traillers;23,42;01h 53m 57s;6837;12,33;45,00;39,13;36,36;26,43;21,11;13,01;;;20,76;15,02;;;;;4,96;4,36;2,92;0,84;0,34;
ven. 02 décembre 2022 - 18:39;Retour boulot;5,28;15m 11s;911;20,86;37,50;32,14;26,67;22,39;;;;;;;;;;;4,56;3,96;3,44;1,04;;
ven. 02 décembre 2022 - 08:16;Aller boulot;5,27;14m 00s;840;22,60;32,14;30,51;27,91;24,52;;;;;;;;;;;2,72;1,68;1,18;;;
jeu. 01 décembre 2022 - 17:59;Retour boulot;5,13;16m 00s;960;19,24;32,14;31,58;30,51;20,29;;;;;;;;;;;5,20;4,32;3,68;1,34;;
jeu. 01 décembre 2022 - 07:31;Aller boulot;5,26;17m 45s;1065;17,78;25,00;22,50;20,81;19,07;;;;;;;;;;;7,20;5,16;3,16;1,01;;
mer. 30 novembre 2022 - 17:54;Retour boulot;5,05;21m 38s;1298;14,01;21,95;20,69;19,46;15,72;;;;;;;;;;;4,56;4,12;3,78;1,08;;
mer. 30 novembre 2022 - 12:09;Sortie vélo le midi;1,73;05m 32s;332;18,78;29,03;28,57;18,56;;;;;;;;;;;;4,40;2,72;2,28;;;
mer. 30 novembre 2022 - 07:31;Aller boulot;5,27;17m 07s;1027;18,46;25,00;24,00;21,82;19,21;;;;;;;;;;;2,96;1,64;1,24;;;
mar. 29 novembre 2022 - 17:40;Retour boulot;5,57;30m 43s;1843;10,87;28,13;24,66;21,30;12,42;;;;;11,10;;;;;;4,56;2,76;2,38;0,78;;
mar. 29 novembre 2022 - 07:31;Aller boulot;5,29;18m 13s;1093;17,44;31,03;29,03;26,47;20,50;;;;;;;;;;;3,36;2,92;2,14;0,48;;
lun. 28 novembre 2022 - 17:53;Retour boulot;5,34;15m 38s;938;20,51;36,00;34,62;31,86;22,06;;;;;;;;;;;4,24;2,76;2,38;0,46;;
lun. 28 novembre 2022 - 07:33;Aller boulot;5,25;17m 07s;1027;18,39;26,47;24,00;21,82;19,61;;;;;;;;;;;3,20;1,92;1,68;0,30;;
dim. 27 novembre 2022 - 09:56;Sortie VTT le matin;27,01;01h 47m 03s;6423;15,14;34,62;33,33;33,03;23,78;21,80;15,01;;;20,70;15,74;;;;;5,28;4,20;3,04;0,62;0,47;0,21
ven. 25 novembre 2022 - 17:30;Retour boulot;7,05;22m 49s;1369;18,53;33,33;32,73;30,51;23,59;;;;;;;;;;;8,96;6,40;2,04;0,70;;
ven. 25 novembre 2022 - 07:33;Aller boulot;5,25;15m 44s;944;20,03;28,13;24,00;22,78;21,20;;;;;;;;;;;2,80;2,24;1,26;0,20;;
mar. 22 novembre 2022 - 18:04;Retour boulot;5,67;28m 18s;1698;12,02;30,00;28,13;23,53;17,16;;;;;;;;;;;3,28;2,28;1,62;0,64;;
mar. 22 novembre 2022 - 07:31;Aller boulot;5,26;16m 40s;1000;18,94;27,27;24,32;23,53;20,25;;;;;;;;;;;3,76;2,04;1,54;0,18;;
lun. 21 novembre 2022 - 18:04;Retour boulot;4,87;11m 44s;704;24,90;37,50;34,62;33,33;;;;;;;;;;;;4,72;2,88;2,66;;;
lun. 21 novembre 2022 - 08:00;Aller boulot;4,85;13m 02s;782;22,33;32,14;30,00;27,27;;;;;;;;;;;;4,24;2,72;1,94;;;
dim. 20 novembre 2022 - 09:44;Sortie VTT le matin avec Clément et son beau Gravel;30,69;01h 39m 10s;5950;18,57;37,50;34,62;33,96;23,38;21,44;19,37;;;21,21;19,61;;;;;4,56;4,08;3,16;0,28;0,17;
ven. 18 novembre 2022 - 12:55;Retour boulot;5,33;14m 17s;857;22,39;32,14;31,58;30,51;23,94;;;;;;;;;;;3,44;3,00;2,18;0,58;;
ven. 18 novembre 2022 - 07:45;Aller boulot;5,24;15m 47s;947;19,93;31,03;29,51;25,90;22,90;;;;;;;;;;;2,80;2,16;1,68;0,25;;
jeu. 17 novembre 2022 - 18:02;Retour boulot;6,30;45m 25s;2725;8,32;30,00;29,51;22,78;17,53;;;;;8,33;;;;;;4,56;4,04;2,44;0,96;;
jeu. 17 novembre 2022 - 07:33;Aller boulot;5,26;16m 27s;987;19,18;25,00;24,00;22,36;20,13;;;;;;;;;;;5,52;3,76;2,12;0,44;;
mer. 16 novembre 2022 - 17:48;Retour boulot;7,94;36m 59s;2219;12,87;33,33;31,58;31,03;24,90;;;;;14,06;;;;;;7,84;4,40;1,74;0,42;;
mer. 16 novembre 2022 - 07:32;Aller boulot;5,24;17m 10s;1030;18,33;25,00;23,38;21,56;19,96;;;;;;;;;;;2,64;2,08;1,66;0,24;;
mar. 15 novembre 2022 - 18:17;Retour boulot;5,32;13m 50s;830;23,09;36,00;32,14;30,00;25,60;;;;;;;;;;;4,48;2,80;2,24;0,75;;
mar. 15 novembre 2022 - 07:46;Aller boulot;5,25;18m 11s;1091;17,34;23,08;22,50;20,69;18,20;;;;;;;;;;;2,72;1,92;1,38;;;
lun. 14 novembre 2022 - 18:13;Retour boulot;5,46;20m 49s;1249;15,74;27,27;26,47;21,18;16,93;;;;;;;;;;;3,84;3,12;2,08;0,79;;
lun. 14 novembre 2022 - 07:32;Aller boulot;5,25;16m 02s;962;19,64;26,47;25,00;22,78;20,43;;;;;;;;;;;2,96;1,80;1,18;;;
ven. 11 novembre 2022 - 14:53;Sortie VTT dans l'après-midi;46,33;02h 33m 38s;9218;18,09;52,94;46,15;35,64;25,53;23,27;19,28;;;22,49;19,34;18,61;;;;10,80;6,28;4,22;0,90;0,44;0,29
jeu. 10 novembre 2022 - 18:09;Retour boulot;5,28;14m 49s;889;21,39;37,50;35,29;31,86;23,26;;;;;;;;;;;3,60;2,60;2,32;0,64;;
jeu. 10 novembre 2022 - 07:31;Aller boulot;5,24;15m 25s;925;20,41;27,27;25,35;23,53;21,51;;;;;;;;;;;2,88;1,56;0,96;;;
mer. 09 novembre 2022 - 18:10;Retour boulot;5,27;13m 24s;804;23,61;37,50;36,00;33,64;25,60;;;;;;;;;;;2,88;2,52;2,26;0,62;;
mer. 09 novembre 2022 - 07:33;Aller boulot;5,49;19m 27s;1167;16,94;24,32;22,78;21,18;17,19;;;;;;;;;;;3,28;1,80;1,48;0,10;;
mar. 08 novembre 2022 - 17:36;Retour boulot;5,30;13m 10s;790;24,15;36,00;33,96;32,73;25,90;;;;;;;;;;;3,28;2,64;2,24;0,46;;
mar. 08 novembre 2022 - 07:32;Aller boulot;5,31;17m 54s;1074;17,79;23,68;21,95;20,69;19,11;;;;;;;;;;;3,44;2,20;1,36;0,20;;
lun. 07 novembre 2022 - 19:00;Retour boulot;5,31;13m 35s;815;23,48;34,62;32,14;30,77;25,42;;;;;;;;;;;3,92;2,16;1,78;0,58;;
lun. 07 novembre 2022 - 07:33;Aller boulot;5,23;17m 53s;1073;17,54;23,08;22,22;20,93;18,22;;;;;;;;;;;3,04;1,84;1,24;;;
ven. 04 novembre 2022 - 17:57;Sortie vélo dans l'après-midi;8,90;32m 40s;1960;16,34;31,03;30,00;28,80;17,41;;;;;16,87;;;;;;12,80;6,32;3,86;1,10;;
ven. 04 novembre 2022 - 15:56;Sortie vélo dans l'après-midi;8,65;26m 02s;1562;19,93;39,13;32,14;25,53;22,87;;;;;;;;;;;2,64;1,64;0,86;0,23;;
ven. 04 novembre 2022 - 13:46;Retour boulot;5,34;15m 40s;940;20,47;30,00;29,03;26,67;21,66;;;;;;;;;;;3,36;2,56;1,96;0,46;;
ven. 04 novembre 2022 - 07:42;Aller boulot;5,25;14m 34s;874;21,64;31,03;29,03;26,09;22,93;;;;;;;;;;;2,48;1,92;1,28;0,26;;
jeu. 03 novembre 2022 - 18:24;Retour boulot;5,53;24m 34s;1474;13,50;26,47;24,00;22,22;17,26;;;;;;;;;;;4,40;3,28;2,20;0,79;;
jeu. 03 novembre 2022 - 07:34;Aller boulot;5,23;15m 20s;920;20,48;25,00;23,68;22,78;21,15;;;;;;;;;;;2,72;1,52;1,16;;;
mer. 02 novembre 2022 - 18:05;Retour boulot;5,27;14m 40s;880;21,55;40,91;38,30;33,03;22,93;;;;;;;;;;;4,00;2,60;2,42;0,48;;
mer. 02 novembre 2022 - 07:49;Aller boulot;5,24;14m 57s;897;21,03;32,14;31,03;27,91;22,56;;;;;;;;;;;3,76;3,00;2,10;0,46;;
lun. 31 octobre 2022 - 09:07;Sortie VTT le matin;43,19;02h 44m 30s;9870;15,75;56,25;50,00;35,64;23,56;21,19;18,01;;;21,11;18,20;16,52;;;;7,04;5,08;3,38;0,70;0,56;0,36
ven. 28 octobre 2022 - 17:55;Retour boulot;5,33;14m 15s;855;22,42;36,00;34,62;33,33;24,06;;;;;;;;;;;3,12;2,56;1,84;0,50;;
ven. 28 octobre 2022 - 07:51;Aller boulot;5,25;14m 23s;863;21,91;31,03;29,03;26,28;22,99;;;;;;;;;;;2,72;1,56;1,12;;;
jeu. 27 octobre 2022 - 18:25;Retour boulot;5,33;13m 04s;784;24,47;37,50;36,00;33,96;26,28;;;;;;;;;;;3,44;2,24;1,86;0,44;;
jeu. 27 octobre 2022 - 07:55;Aller boulot;5,27;15m 37s;937;20,26;30,00;28,57;25,90;21,25;;;;;;;;;;;2,72;1,76;1,34;0,18;;
mer. 26 octobre 2022 - 18:15;Retour boulot;5,29;13m 21s;801;23,76;33,33;32,73;32,14;25,21;;;;;;;;;;;3,28;2,12;1,60;0,52;;
mer. 26 octobre 2022 - 07:34;Aller boulot;5,26;13m 58s;838;22,62;36,00;33,96;30,00;23,68;;;;;;;;;;;2,72;1,72;1,24;;;
mar. 25 octobre 2022 - 18:13;Retour boulot;5,32;14m 53s;893;21,44;30,00;29,51;28,35;22,81;;;;;;;;;;;4,80;2,40;1,92;0,59;;
mar. 25 octobre 2022 - 07:47;Aller boulot;5,24;15m 06s;906;20,80;28,13;26,47;24,66;21,71;;;;;;;;;;;2,72;1,72;1,14;0,16;;
lun. 24 octobre 2022 - 18:09;Retour boulot;5,44;25m 59s;1559;12,57;25,71;24,66;22,93;12,95;;;;;;;;;;;4,00;3,56;2,62;0,80;;
lun. 24 octobre 2022 - 07:53;Aller boulot;5,51;17m 08s;1028;19,30;26,47;24,66;23,38;21,03;;;;;;;;;;;2,80;2,00;1,32;0,14;;
ven. 21 octobre 2022 - 18:30;Retour boulot;5,28;12m 17s;737;25,80;39,13;38,30;36,36;28,04;;;;;;;;;;;5,04;2,48;1,90;0,38;;
ven. 21 octobre 2022 - 07:30;Aller boulot;5,25;15m 55s;955;19,80;25,71;24,32;22,36;20,67;;;;;;;;;;;2,80;1,60;1,16;0,04;;
jeu. 20 octobre 2022 - 18:42;Retour boulot;5,35;13m 19s;799;24,12;34,62;33,96;32,43;25,94;;;;;;;;;;;4,16;2,20;1,80;0,54;;
jeu. 20 octobre 2022 - 08:50;Aller boulot;5,28;14m 07s;847;22,42;33,33;31,03;28,13;23,87;;;;;;;;;;;2,56;1,76;1,38;0,18;;
mer. 19 octobre 2022 - 18:21;Retour boulot;5,32;14m 03s;843;22,74;31,03;30,51;29,27;24,86;;;;;;;;;;;4,08;2,84;2,00;0,44;;
mer. 19 octobre 2022 - 07:30;Aller boulot;5,24;17m 06s;1026;18,39;29,03;26,47;23,23;19,76;;;;;;;;;;;2,88;1,64;1,34;;;
mar. 18 octobre 2022 - 18:09;Retour boulot;5,29;13m 56s;836;22,79;36,00;33,33;31,30;24,26;;;;;;;;;;;3,12;2,16;1,92;0,40;;
mar. 18 octobre 2022 - 07:32;Aller boulot;5,24;16m 34s;994;18,99;25,71;24,32;22,93;19,82;;;;;;;;;;;2,72;1,60;1,08;;;
lun. 17 octobre 2022 - 18:10;Retour boulot;5,28;13m 16s;796;23,88;37,50;35,29;34,29;25,25;;;;;;;;;;;4,96;2,40;1,72;0,34;;
lun. 17 octobre 2022 - 07:33;Aller boulot;5,23;16m 46s;1006;18,72;24,32;22,50;21,43;19,72;;;;;;;;;;;2,88;1,84;1,08;;;
ven. 14 octobre 2022 - 17:57;Retour boulot;5,27;13m 30s;810;23,43;36,00;34,62;33,96;26,24;;;;;;;;;;;2,80;2,36;1,88;0,52;;
ven. 14 octobre 2022 - 07:52;Aller boulot;5,25;16m 02s;962;19,64;28,13;25,71;23,68;20,55;;;;;;;;;;;3,04;1,76;1,22;;;
jeu. 13 octobre 2022 - 17:50;Retour boulot;5,37;15m 19s;919;21,02;32,14;31,58;30,25;23,08;;;;;;;;;;;2,56;2,16;1,82;0,34;;
jeu. 13 octobre 2022 - 07:31;Aller boulot;5,28;21m 01s;1261;15,06;25,00;23,68;21,56;19,67;;;;;;;;;;;2,88;1,76;1,34;0,18;;
mer. 12 octobre 2022 - 18:13;Retour boulot;5,28;17m 18s;1038;18,33;31,03;30,00;28,80;22,93;;;;;;;;;;;2,56;2,16;1,92;0,49;;
mer. 12 octobre 2022 - 07:52;Aller boulot;5,27;13m 06s;786;24,15;36,00;33,33;30,51;26,43;;;;;;;;;;;4,80;3,12;2,38;0,90;;
mar. 11 octobre 2022 - 17:49;Retour boulot;5,31;14m 30s;870;21,97;33,33;32,14;31,58;23,87;;;;;;;;;;;3,68;2,08;1,56;0,41;;
mar. 11 octobre 2022 - 12:43;Aller retour Leroy Merlin;12,49;58m 14s;3494;12,87;37,50;35,29;31,03;24,86;13,67;;;;11,34;;;;;;6,88;3,96;2,60;0,36;0,09;
mar. 11 octobre 2022 - 07:32;Aller boulot;5,26;16m 47s;1007;18,80;25,71;23,68;22,09;20,13;;;;;;;;;;;2,80;1,60;1,16;;;
lun. 10 octobre 2022 - 17:53;Retour boulot;5,32;14m 17s;857;22,33;30,00;29,51;27,91;23,81;;;;;;;;;;;3,84;2,08;1,64;0,38;;
lun. 10 octobre 2022 - 07:33;Aller boulot;5,25;17m 26s;1046;18,06;28,13;25,71;22,50;19,76;;;;;;;;;;;2,64;1,88;1,36;0,10;;
ven. 07 octobre 2022 - 17:24;Retour boulot;5,32;13m 41s;821;23,31;32,14;31,03;30,25;24,93;;;;;;;;;;;3,28;2,04;1,62;0,44;;
ven. 07 octobre 2022 - 07:34;Aller boulot;5,26;16m 42s;1002;18,91;26,47;25,00;24,16;21,71;;;;;;;;;;;2,80;1,68;1,16;;;
jeu. 06 octobre 2022 - 18:11;Retour boulot;5,34;14m 09s;849;22,62;32,14;30,51;29,51;24,29;;;;;;;;;;;5,36;2,64;2,10;0,58;;
jeu. 06 octobre 2022 - 08:00;Aller boulot;5,25;15m 32s;932;20,30;34,62;31,58;29,27;24,59;;;;;;;;;;;2,64;1,92;1,20;0,21;;
mer. 05 octobre 2022 - 19:00;Retour boulot;5,29;12m 59s;779;24,45;32,14;32,14;31,30;26,05;;;;;;;;;;;3,20;2,68;2,26;0,40;;
mer. 05 octobre 2022 - 07:32;Aller boulot;5,27;17m 23s;1043;18,21;24,32;21,95;20,69;19,07;;;;;;;;;;;3,28;2,12;1,06;0,03;;
mar. 04 octobre 2022 - 18:00;Retour boulot;5,56;21m 53s;1313;15,23;27,27;25,35;22,50;15,72;;;;;;;;;;;5,52;3,20;1,68;0,47;;
mar. 04 octobre 2022 - 06:35;Aller boulot;5,25;15m 28s;928;20,36;29,03;26,47;24,16;21,61;;;;;;;;;;;2,48;1,60;1,30;0,18;;
lun. 03 octobre 2022 - 17:55;Retour boulot;5,34;13m 40s;820;23,43;37,50;34,62;33,03;24,93;;;;;;;;;;;2,64;1,92;1,56;0,30;;
lun. 03 octobre 2022 - 07:32;Aller boulot;5,26;15m 54s;954;19,85;26,47;24,32;23,68;21,03;;;;;;;;;;;2,88;1,68;1,08;;;
dim. 02 octobre 2022 - 10:20;Sortie VTT le matin;33,29;02h 00m 25s;7225;16,58;39,13;36,73;34,62;25,71;22,05;18,65;;;21,63;18,87;16,61;;;;5,92;4,48;2,78;0,75;0,44;0,29
ven. 30 septembre 2022 - 17:40;Retour boulot;5,32;13m 38s;818;23,40;37,50;35,29;34,95;25,46;;;;;;;;;;;6,08;2,92;2,22;0,59;;
ven. 30 septembre 2022 - 07:34;Aller boulot;5,24;16m 19s;979;19,27;26,47;25,35;23,08;20,32;;;;;;;;;;;2,88;2,12;1,56;0,27;;
jeu. 29 septembre 2022 - 18:09;Retour boulot;5,36;16m 06s;966;19,98;32,14;31,03;29,27;21,53;;;;;;;;;;;3,68;2,64;2,18;0,58;;
jeu. 29 septembre 2022 - 08:02;Aller boulot;5,29;16m 18s;978;19,46;28,13;25,71;24,49;20,29;;;;;;;;;;;3,12;1,92;1,06;0,22;;
mer. 28 septembre 2022 - 22:29;Retour Tiphany;9,14;25m 38s;1538;21,39;34,62;30,00;28,57;24,06;;;;;;;;;;;6,24;4,64;3,32;1,02;;
mer. 28 septembre 2022 - 18:46;Aller Tiphany;8,92;22m 38s;1358;23,63;32,14;30,00;29,27;24,69;;;;;;;;;;;2,40;1,68;1,28;0,10;;
mer. 28 septembre 2022 - 17:45;Retour boulot;5,37;18m 32s;1112;17,37;29,03;27,69;24,32;18,16;;;;;;;;;;;3,84;2,84;2,54;0,58;;
mer. 28 septembre 2022 - 07:33;Aller boulot;5,26;16m 14s;974;19,43;27,27;25,71;23,08;20,50;;;;;;;;;;;2,80;1,72;1,20;;;
mar. 27 septembre 2022 - 17:40;Retour boulot;5,64;17m 57s;1077;18,86;34,62;32,73;31,58;23,38;;;;;;;;;;;4,32;3,44;2,22;0,21;;
mar. 27 septembre 2022 - 07:35;Aller boulot;5,25;17m 24s;1044;18,10;24,32;22,78;21,56;19,72;;;;;;;;;;;3,12;1,84;1,28;0,15;;
lun. 26 septembre 2022 - 18:07;Retour boulot;5,28;14m 21s;861;22,09;31,03;30,00;28,80;23,59;;;;;;;;;;;4,88;2,72;1,88;0,18;;
lun. 26 septembre 2022 - 07:33;Aller boulot;5,48;21m 39s;1299;15,19;28,13;22,22;21,30;16,03;;;;;;;;;;;3,92;2,28;1,12;0,15;;
ven. 23 septembre 2022 - 17:43;Retour boulot;5,30;13m 25s;805;23,68;37,50;34,62;34,29;25,32;;;;;;;;;;;4,08;2,16;1,30;0,13;;
ven. 23 septembre 2022 - 07:32;Aller boulot;5,27;16m 20s;980;19,36;27,27;24,66;22,93;20,20;;;;;;;;;;;5,68;4,64;2,34;0,52;;
jeu. 22 septembre 2022 - 08:16;Aller boulot;5,27;12m 43s;763;24,86;34,62;33,33;30,77;26,63;;;;;;;;;;;2,56;1,88;1,42;0,10;;
jeu. 22 septembre 2022 - 00:13;Sortie vélo de nuit;5,00;15m 02s;902;19,96;32,14;29,51;23,68;20,00;;;;;;;;;;;6,32;4,64;3,78;1,33;;
mer. 21 septembre 2022 - 18:56;Sortie vélo en soirée;9,15;23m 28s;1408;23,40;34,62;31,58;28,35;25,42;;;;;;;;;;;3,36;2,64;1,04;;;
mer. 21 septembre 2022 - 17:36;Retour boulot;5,34;14m 58s;898;21,42;31,03;30,00;29,27;23,29;;;;;;;;;;;4,80;2,52;2,14;0,75;;
lun. 19 septembre 2022 - 07:33;Aller boulot;5,23;15m 51s;951;19,78;28,13;26,87;24,16;20,64;;;;;;;;;;;3,36;2,16;1,18;0,09;;
ven. 16 septembre 2022 - 17:08;Retour boulot;5,26;15m 32s;932;20,33;30,00;28,57;27,91;21,87;;;;;;;;;;;2,72;2,20;1,64;0,42;;
ven. 16 septembre 2022 - 07:33;Aller boulot;5,26;16m 15s;975;19,42;26,47;24,32;22,93;20,09;;;;;;;;;;;3,28;1,88;1,30;0,08;;
jeu. 15 septembre 2022 - 17:57;Retour boulot;5,36;19m 09s;1149;16,81;32,14;31,58;30,00;22,50;;;;;;;;;;;3,52;1,96;1,64;0,28;;
jeu. 15 septembre 2022 - 08:15;Aller boulot;5,26;16m 00s;960;19,71;26,47;25,00;24,32;20,88;;;;;;;;;;;7,20;4,88;3,52;0,59;;
mer. 14 septembre 2022 - 17:28;Retour boulot;5,32;15m 21s;921;20,78;31,03;30,00;29,27;22,28;;;;;;;;;;;2,72;1,76;1,32;0,22;;
mer. 14 septembre 2022 - 12:04;Sortie vélo le midi;11,18;01h 21m 29s;4889;8,23;36,00;32,14;31,03;24,06;7,76;;;;5,27;5,27;;;;;6,16;4,04;3,06;1,19;0,18;
mer. 14 septembre 2022 - 07:33;Aller boulot;5,20;16m 24s;984;19,02;23,68;23,38;22,09;19,67;;;;;;;;;;;2,08;1,60;1,22;;;
mar. 13 septembre 2022 - 17:18;Retour boulot;5,32;15m 06s;906;21,12;30,00;27,69;26,67;22,28;;;;;;;;;;;6,56;3,28;2,28;0,26;;
mar. 13 septembre 2022 - 07:32;Aller boulot;5,27;16m 40s;1000;18,96;26,47;25,35;23,53;19,63;;;;;;;;;;;3,20;1,96;1,06;0,22;;
lun. 12 septembre 2022 - 17:54;Retour boulot;5,34;19m 12s;1152;16,67;28,13;26,09;21,18;17,73;;;;;;;;;;;3,28;1,80;1,66;0,45;;
lun. 12 septembre 2022 - 07:34;Aller boulot;5,24;16m 15s;975;19,36;28,13;26,09;23,23;20,02;;;;;;;;;;;3,20;2,24;1,44;0,08;;
dim. 11 septembre 2022 - 07:41;Les Roch des monts d’Arrée 2022 avec Clément;85,84;07h 03m 37s;25417;12,16;60,00;58,06;52,94;19,76;18,16;14,86;12,02;;17,98;15,04;14,00;13,50;12,09;12,20;14,16;10,40;8,58;3,24;1,49;1,10
ven. 09 septembre 2022 - 17:10;Retour boulot;5,34;13m 52s;832;23,09;34,62;33,33;32,14;24,86;;;;;;;;;;;2,96;2,20;1,82;0,51;;
ven. 09 septembre 2022 - 07:32;Aller boulot;5,25;16m 19s;979;19,30;26,47;25,00;22,36;19,91;;;;;;;;;;;5,20;4,24;3,52;0,82;;
jeu. 08 septembre 2022 - 17:35;Retour boulot;5,30;12m 11s;731;26,11;47,37;43,90;40,00;27,73;;;;;;;;;;;4,00;1,96;1,60;0,27;;
jeu. 08 septembre 2022 - 07:33;Aller boulot;5,25;17m 24s;1044;18,10;23,08;22,50;21,05;18,99;;;;;;;;;;;2,88;2,24;1,28;;;
mer. 07 septembre 2022 - 17:57;Retour boulot;5,27;13m 44s;824;23,00;30,00;27,69;27,48;24,56;;;;;;;;;;;3,12;2,32;2,08;0,23;;
mer. 07 septembre 2022 - 07:36;Aller boulot;5,24;16m 10s;970;19,44;28,13;26,09;23,84;20,36;;;;;;;;;;;2,68;1,66;1,06;;;
mar. 06 septembre 2022 - 17:32;Retour boulot;5,29;13m 33s;813;23,42;37,50;36,00;33,64;25,32;;;;;;;;;;;2,88;2,36;1,84;0,38;;
mar. 06 septembre 2022 - 07:36;Aller boulot;5,24;16m 10s;970;19,45;28,13;26,09;23,84;20,29;;;;;;;;;;;2,32;1,72;1,26;;;
lun. 05 septembre 2022 - 17:33;Retour boulot;5,32;15m 40s;940;20,38;31,03;29,51;28,80;21,61;;;;;;;;;;;5,84;2,28;1,68;0,38;;
lun. 05 septembre 2022 - 07:31;Aller boulot;5,24;16m 37s;997;18,94;24,32;23,08;21,30;19,63;;;;;;;;;;;2,96;1,88;1,10;0,20;;
dim. 04 septembre 2022 - 08:49;Sortie VTT Nouvoitou AROD;42,09;03h 20m 12s;12012;12,61;50,00;40,91;27,91;18,91;17,90;15,91;;;18,36;17,33;13,97;13,08;;;7,76;4,60;2,48;0,76;0,29;0,12
ven. 02 septembre 2022 - 17:30;Retour boulot;5,26;14m 20s;860;22,04;33,33;31,58;30,77;23,72;;;;;;;;;;;3,12;2,60;2,04;0,39;;
ven. 02 septembre 2022 - 07:33;Aller boulot;5,21;17m 34s;1054;17,79;25,00;21,95;21,05;18,99;;;;;;;;;;;2,64;1,88;0,94;;;
jeu. 01 septembre 2022 - 18:18;Retour boulot;5,35;14m 56s;896;21,50;37,50;36,00;35,29;22,90;;;;;;;;;;;3,52;1,92;1,56;0,45;;
jeu. 01 septembre 2022 - 08:03;Aller boulot;5,22;16m 12s;972;19,33;30,00;27,27;23,84;20,11;;;;;;;;;;;2,88;1,80;1,10;;;
mer. 31 août 2022 - 18:58;Retour boulot;5,26;12m 45s;765;24,77;33,33;32,14;30,51;26,05;;;;;;;;;;;2,72;2,20;1,64;0,16;;
mer. 31 août 2022 - 08:14;Aller boulot;5,26;12m 58s;778;24,34;36,00;34,62;32,43;26,71;;;;;;;;;;;2,96;2,00;0,92;;;
mar. 30 août 2022 - 14:47;Retour boulot;5,30;14m 46s;886;21,52;31,03;30,00;29,03;22,90;;;;;;;;;;;2,56;1,68;1,12;0,25;;
mar. 30 août 2022 - 08:02;Aller boulot;5,24;13m 28s;808;23,34;32,14;31,58;30,00;24,49;;;;;;;;;;;2,88;1,48;1,10;0,05;;
lun. 29 août 2022 - 18:05;Retour boulot;5,30;14m 23s;863;22,11;33,33;31,58;30,77;23,50;;;;;;;;;;;5,84;3,44;1,62;0,30;;
lun. 29 août 2022 - 08:24;Aller boulot;5,26;13m 30s;810;23,38;33,33;31,03;29,03;24,69;;;;;;;;;;;5,28;4,08;1,74;0,62;;
jeu. 25 août 2022 - 18:00;Retour boulot;5,29;14m 52s;892;21,35;33,33;31,03;30,00;22,81;;;;;;;;;;;4,00;1,76;1,30;0,30;;
jeu. 25 août 2022 - 12:02;Sortie vélo le midi;11,11;02h 15m 14s;8114;4,93;37,50;34,62;32,73;25,97;4,58;;;;2,83;2,83;2,83;;;;6,32;4,32;3,24;0,98;0,07;
jeu. 25 août 2022 - 08:05;Aller boulot;5,32;16m 22s;982;19,50;29,03;27,69;24,49;21,92;;;;;;;;;;;2,88;1,56;0,58;;;
mer. 24 août 2022 - 17:59;Retour boulot;5,30;18m 03s;1083;17,61;28,13;26,47;24,49;18,56;;;;;;;;;;;4,16;2,20;1,38;0,35;;
mer. 24 août 2022 - 08:27;Aller boulot;5,22;13m 18s;798;23,53;34,62;33,96;31,86;24,62;;;;;;;;;;;3,28;1,84;1,06;;;
mar. 23 août 2022 - 18:16;Retour boulot;5,35;18m 39s;1119;17,20;31,03;26,09;24,66;17,89;;;;;;;;;;;3,20;1,96;1,70;0,39;;
mar. 23 août 2022 - 08:21;Aller boulot;5,25;13m 10s;790;23,92;36,00;33,96;29,03;24,97;;;;;;;;;;;1,68;1,40;0,74;;;
sam. 20 août 2022 - 09:37;Petit sortie VTT avec Clement;44,20;03h 11m 09s;11469;13,87;42,86;39,13;30,77;24,26;21,56;18,28;;;21,31;18,97;16,51;14,18;;;8,24;5,88;3,38;0,88;0,53;0,28
ven. 19 août 2022 - 17:21;Retour boulot;5,31;16m 58s;1018;18,79;29,03;27,27;26,28;20,34;;;;;;;;;;;2,96;2,20;1,58;0,11;;
ven. 19 août 2022 - 08:16;Aller boulot;5,32;15m 49s;949;20,18;28,13;26,47;24,83;22,28;;;;;;;;;;;3,76;2,04;1,18;0,17;;
jeu. 18 août 2022 - 17:58;Retour boulot;5,32;15m 11s;911;21,02;31,03;30,51;28,57;22,70;;;;;;;;;;;4,40;1,96;1,34;0,35;;
